id,Name, titleProject_id,class,score,login,password
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,'vNmB8B)
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,"JD0,0lp8"
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,Mh$5(fr5
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,"4(m+T""*."
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,0uuWS26h
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,"n'8J,G2U"
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,2zHd6Sd2
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,4tZ42%OQ
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,1GXt52He
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,2se89PTR
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,+8yL5Jh0
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,Og'iM!0B
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,2Qb8eKgN
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,t07g0JK.
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,&z8-&6Y(
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,g9QQ4x!5
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,i/)Z!$+3
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,O'639D.v
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,6%jQ++j!
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,0Y1Er!1(
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,Mr&uVIm1
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,'57!ffyD
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,/M3z5PlH
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,7PiXcG8k7
67,Остюков Артур Романович,329,11и,3,Остюков_АР,$0iDE(1)
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,2uZT7'3#
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,0&MV8lN.
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,"w(,,C1&8"
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,o1BNj3Nq
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,l#X3*Ey(
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,.Ch0YbI-
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,Bq3%7!9'
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,7fp5JK5d
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,)6t!hk2H
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,d#3mXWZ6
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,5D2xpoKC3
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,",j769+#T"
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,"Ml+""rGF2"
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,"6c),)%+C"
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,M#9fU#Ao
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,g6z-23He
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,#g6Mt&o1
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,"&,2'OdtV"
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,WT--Xq7!
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,/9Bj9Gz-
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,ovT25m0NM
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,"Uy6Y1Gl,"
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,4'.9mA0-
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,""",q1y-Ed"
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,D9tH'Fjd
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,cdJg0/75
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,q*W5Ep10
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,CpSon&A4
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,")H#7TfZ,"
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,oM0mWD74
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,K/6ND'9i
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,S/PH55i5
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,#M/!PoZ2
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,",7BmU)4Y"
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,yZ05s.u(
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,S-4c5(Hs
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,l$SH/#(9
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,".,K5Ml7M"
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,6'1n&9ZM
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,a70nt)2S
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,V6nSio18
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,'Q2E$Tfg
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,Q3%.'(h*
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,Mjz34.Kg
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,",af.1m/F"
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,&1fg!B6T
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,#+N5zEM5
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,/&-5Sr-e
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,9l9WB0cg
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,y6n45/lF
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,'$p7#Ns/
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,IItuC84y
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,'J4pbeYV
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,$39'Iq!(
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,h1Deg22R
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,jFy6N++Y
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,p9F)3ExX
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,0u..5Xq3
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,"""M.%sg33"
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,xq/$iG92
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,aj!mL7HT
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,G(8q2O%6
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,MTc+7Q.'
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,"""v6Gj8W6"
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,'4P/4p7%
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,iH8h7*#1
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,Bku4LaB(
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,x4K22hO#
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,"-Q7+&!,k"
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,qT5xB&0i
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,"T6%(,4v4"
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,Q963br#C
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,"1%'&sB""4"
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,*Px36y1)
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,798!#iE(
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,"""d2s-U0z"
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,"0""N8n.&a"
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,/6wNb*yJ
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,UDF&2kt6
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,wtNI4Y0b7
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,7'%fYhz5
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,q9Qp9UqP
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,-'T5mLZ4
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,NIQ8n3db
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,9OBG(f#1
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,t!0M0AbI
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,6l&'1S)-
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,+H$h+4y-
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,!B%3hVs8
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,"435gQIw"""
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,ymj3H9HE0
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,Ql0*&.zw
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,4PR+.+8y
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,(9(24Obl
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,Z8$1hoK6
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,"%vh7N,4q"
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,SJ7k8E3g
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,!DSK9$kv
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,5VEBa41&
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,IO-yoT8#
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,H)i2I#+2
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,"$t,,*1R0"
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,tx0F4$0E
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,V#'c9)Sj
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,w/qQ2WT+
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,"p9JQ!1q"""
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,o(P+#e0L
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,(*vRn5'l
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,1v89RaKSf
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,$7q46BM-
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,#9!4sU2#
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,BXa*C#27
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,"hz-/Fy""1"
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,g&G2ehLH
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,Y2GN(.b'
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,N#(Yc$z4
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,$E-Mpc14
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,n71DiS0f
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,.0Rs5jq8
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,6VcqIo0X6
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,"""2l#,!Y+"
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,'2#g&hP3
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,Ia70Xhn0B
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,t$IcAO2+
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,T47Qya1Me
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,-%r(0SAS
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,"""D26)nUb"
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,9#c8BP6!
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,r/Da22)3
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,Lh1..k4.
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,u6(w)Gm9
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,"&n',Y84m"
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,"1IgW0%""4"
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,Vca41N2u
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,#G4#&6%d
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,*8%lkgO-
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,k/9Ca!!9
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,jQ2wiO81
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,"5B4""z-1b"
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,&*p7KU27
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,G#9YK#xf
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,S934wbAKn
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,WZ0d%f$S
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,&M1u$L7i
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,"8#""S%""%t"
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,$9xtF5wX
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,"uZ675""+z"
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,59Bb(cd7
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,"m%""nL8v*"
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,%(2(t*5Q
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,Z%3n*Jn9
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,oK&xS0fE
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,&d30l2)P
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,++$/Ok&4
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,"qYg,k-6%"
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,1Woa8IiR
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,yv665OXg
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,++r4B/-D
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,"6o*u1ID,"
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,"kC3/0,8,"
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,"6"",Tt'%y"
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,43$gT+!9
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,#9tI7p3'
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,pQx3sX62
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,.)aA*5P#
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,r%M4q-Gy
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,0wKo6-&(
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,"4Av'%3B,"
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,Ok2h4Y-x
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,"x,d2WG90"
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,)kM2BIth
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,"I!j"")p4/"
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,ACw8r0uD
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,m5&NyH70
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,5Fl4Sdh7
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,wI)(3('%
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,7eS7mF1'
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,P9bJh9c6
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,3m'9G1uQ
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,ikKIw700
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,AwB'meV9
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,/((J5/&d
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,.D0V7Ncm
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,sI6A/41h
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,U37MH0xg
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,C73k7ox'
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,Z+8XvUd$
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,j*#1D/#(
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,"z3K.,r*,"
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,"N,!#pg73"
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,oA*pFZ4r
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,uJJl(%V3
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,"2v-%""kcW"
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,gOw3(wWA
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,Um72hn'*
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,S60ccRqE5
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,wPDgD2w8
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,2qW51ll/
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,"ut""!$K-0"
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,"/+F9""""Dp"
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,#1$2D)uZ
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,UBN#7dq/
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,+d-)75yI
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,+0$dQm3m
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,q10/W##w
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,t8%BwC7H
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,",T!Ba&1"""
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,"3p4uq8T"""
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,/'5HA13q
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,Xdp5'y81
278,Углова Галина Романовна,260,9г,3,Углова_ГР,#9tq0Xk6
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,u)57TXht
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,36.Tlz+3
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,g!$.(KS8
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,Fr/0aEpR
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,3LZ%u5(j
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,"K53/""wht"
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,(Y7$F#1g
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,3)7r/EF5
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,9*#wRTA)
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,+pzdW%1/
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,4p(hePC1
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,gzVG7qO0
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,1)qNc76S
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,-E'0eU&.
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,"%(hWD0!,"
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,",Iz#37'l"
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,"T)09m%4,"
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,"u,G54E%v"
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,*e$P!02X
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,7Nq(+)'8
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,i.uRw2-R
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,0B%u2*b+
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,"5""pZLz2h"
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,B4l*w2I*
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,"Hpn33O,b"
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,yA07zbX4
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,t/i9J&23
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,$.P#d+9%
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,D51EJpw(
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,$F/yB7K2
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,G22)**'k
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,"4*F,63wc"
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,7GrZ*3Z7
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,M2T6ozJ3y
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,%)'Tn78o
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,%+9t7wY2
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,Y5yF5F2z
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,QtK2K7+5
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,",42!7KXb"
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,8+9uGi#z
